step,time_h,TS,TR,TB,TG,SH,LH,G,RN,TC,UST,ALB,LW
54,  9.00000000000000022E-001,  2.86159124970838093E+002,  2.85519246716861460E+002,  2.87453439217612470E+002,  2.86759277525241885E+002,  3.31443964522782819E+000,  0.00000000000000000E+000,  6.35948892469649181E+001, -6.02798362698364372E+001,  2.86757690402347350E+002,  2.70965288436578189E-001,  0.00000000000000000E+000,  3.80279836269836437E+002
55,  9.16666666666666630E-001,  2.86140903372951755E+002,  2.85495974881066672E+002,  2.87435732697045296E+002,  2.86740754791965401E+002,  3.25909539211088051E+000,  0.00000000000000000E+000,  6.34363973163347978E+001, -6.01766987844365104E+001,  2.86741191003024142E+002,  2.70756413308087307E-001,  0.00000000000000000E+000,  3.80176698784436496E+002
56,  9.33333333333333348E-001,  2.86122868003765063E+002,  2.85472976863061831E+002,  2.87418178828344367E+002,  2.86722337997762054E+002,  3.20481877336399945E+000,  0.00000000000000000E+000,  6.32799909263805063E+001, -6.00745790110498419E+001,  2.86724813062915644E+002,  2.70550266466160982E-001,  0.00000000000000000E+000,  3.80074579011049821E+002
57,  9.49999999999999956E-001,  2.86105015456166711E+002,  2.85450246804872904E+002,  2.87400774727192072E+002,  2.86704026379696415E+002,  3.15156561406461799E+000,  0.00000000000000000E+000,  6.31256063713455049E+001, -5.99734574268701195E+001,  2.86708555328076727E+002,  2.70346755144365569E-001,  0.00000000000000000E+000,  3.79973457426870141E+002
58,  9.66666666666666674E-001,  2.86087342457407715E+002,  2.85427779032879698E+002,  2.87383517600616017E+002,  2.86685819191106702E+002,  3.09929338136583832E+000,  0.00000000000000000E+000,  6.29731821960097449E+001, -5.98733151172621518E+001,  2.86692416583918032E+002,  2.70145787921410974E-001,  0.00000000000000000E+000,  3.79873315117262166E+002
59,  9.83333333333333282E-001,  2.86069845863298951E+002,  2.85405568050918419E+002,  2.87366404743637759E+002,  2.86667715701058398E+002,  3.04796111460813712E+000,  0.00000000000000000E+000,  6.28226591030004684E+001, -5.97741337529646870E+001,  2.86676395653757424E+002,  2.69947274755619693E-001,  0.00000000000000000E+000,  3.79774133752964701E+002
60,  1.00000000000000000E+000,  2.86052522652683876E+002,  2.85383608533665665E+002,  2.87349433536055642E+002,  2.86649715193819361E+002,  2.99752935875743720E+000,  0.00000000000000000E+000,  6.26739798643601773E+001, -5.96758955682327326E+001,  2.86660491397426767E+002,  2.69751127009505764E-001,  0.00000000000000000E+000,  3.79675895568232704E+002
61,  1.01666666666666661E+000,  2.86035369922169934E+002,  2.85361895320291296E+002,  2.87332601439357347E+002,  2.86631816968356532E+002,  2.94796010094868288E+000,  0.00000000000000000E+000,  6.25270892371157885E+001, -5.95785833398817317E+001,  2.86644702709935927E+002,  2.69557257465891487E-001,  0.00000000000000000E+000,  3.79578583339881732E+002
62,  1.03333333333333344E+000,  2.86018384881108148E+002,  2.85340423408368622E+002,  2.87315905993756132E+002,  2.86614020337851741E+002,  2.89921671003448012E+000,  0.00000000000000000E+000,  6.23819338827240557E+001, -5.94821803671876381E+001,  2.86629028520187660E+002,  2.69365580336873855E-001,  0.00000000000000000E+000,  3.79482180367187652E+002
63,  1.05000000000000004E+000,  2.86001564846808378E+002,  2.85319187948029708E+002,  2.87299344815345137E+002,  2.86596324629237586E+002,  2.85126387896080091E+000,  0.00000000000000000E+000,  6.22384622901549776E+001, -5.93866704526069995E+001,  2.86613467789743993E+002,  2.69176011266626658E-001,  0.00000000000000000E+000,  3.79386670452607007E+002
64,  1.06666666666666665E+000,  2.85984907239979236E+002,  2.85298184236355269E+002,  2.87282915593365033E+002,  2.86578729182751488E+002,  2.80406756985914640E+000,  0.00000000000000000E+000,  6.20966247024789411E+001, -5.92920378832810897E+001,  2.86598019511640473E+002,  2.68988467329011716E-001,  0.00000000000000000E+000,  3.79292037883281068E+002
65,  1.08333333333333326E+000,  2.85968409580381376E+002,  2.85277407711988644E+002,  2.87266616087580076E+002,  2.86561233351506246E+002,  2.75759496170646790E+000,  0.00000000000000000E+000,  6.19563730467596798E+001, -5.91982674132860396E+001,  2.86582682709246285E+002,  2.68802867020733027E-001,  0.00000000000000000E+000,  3.79198267413286032E+002
